Designator,Mid X,Mid Y,Rotation,Layer
A1,52.3825,-73.14625,0.0,top
ALT1,71.86875,-109.82875,0.0,top
CTRL1,23.8125,-105.06625,0.0,top
D1,90.4875,-73.15875,0.0,top
D10,82.13125,-92.86875,90.0,bottom
D11,78.58125,-92.86875,90.0,bottom
D12,75.03125,-92.86875,90.0,bottom
D13,71.48125,-92.86875,90.0,bottom
D14,67.93125,-92.86875,90.0,bottom
D15,64.38125,-92.86875,90.0,bottom
D16,60.83125,-92.86875,90.0,bottom
D17,57.28125,-92.86875,90.0,bottom
D18,53.73125,-92.86875,90.0,bottom
D19,50.18125,-92.86875,90.0,bottom
D4,103.43125,-92.86875,90.0,bottom
D5,99.88125,-92.86875,90.0,bottom
D6,96.33125,-92.86875,90.0,bottom
D7,92.78125,-92.86875,90.0,bottom
D8,89.23125,-92.86875,90.0,bottom
D9,85.68125,-92.86875,90.0,bottom
E1,88.11125,-54.065,0.0,top
K1,24.13,-34.99,0.0,top
K2,62.23,-34.99,0.0,top
K3,81.27,-34.99,0.0,top
K4,100.33,-35.0,0.0,top
K5,92.86875,-109.82875,0.0,top
Q1,50.00625,-54.065,0.0,top
R1,107.18125,-54.065,0.0,top
S1,71.4375,-73.15875,0.0,top
T1,43.18,-34.99,0.0,top
TAB1,21.43125,-54.065,0.0,top
U1,133.19125,-80.48625,90.0,bottom
W1,69.06125,-54.065,0.0,top
